Customer,State,Education,EmploymentStatus,Gender,Location,Marital Status,Vehicle,Income
BU79786,Washington,Bachelor,Employed,F,Suburban,Married,Two-Door Car,56274
QZ44356,Arizona,Bachelor,Unemployed,F,Suburban,Single,Four-Door Car,0
AI49188,Nevada,Bachelor,Employed,F,Suburban,Married,Two-Door Car,48767
WW63253,California,Bachelor,Unemployed,M,Suburban,Married,SUV,0
HB64268,Washington,Bachelor,Employed,M,Rural,Single,Four-Door Car,43836
OC83172,Oregon,Bachelor,Employed,F,Rural,Married,Two-Door Car,62902
XZ87318,Oregon,College,Employed,F,Suburban,Married,Four-Door Car,55350
CF85061,Arizona,Master,Unemployed,M,Urban,Single,Four-Door Car,0
DY87989,Oregon,Bachelor,Medical Leave,M,Suburban,Divorced,Four-Door Car,14072
BQ94931,Oregon,College,Employed,F,Urban,Married,Four-Door Car,28812
SX51350,California,College,Unemployed,M,Suburban,Single,Four-Door Car,0
VQ65197,California,College,Unemployed,F,Suburban,Married,SUV,0
DP39365,California,Master,Employed,M,Urban,Married,Four-Door Car,77026
SJ95423,Arizona,High School or Below,Employed,M,Suburban,Married,SUV,99845
IL66569,California,College,Employed,M,Urban,Single,Four-Door Car,83689
BW63560,Oregon,Bachelor,Employed,F,Rural,Married,Four-Door Car,24599
FV94802,Nevada,High School or Below,Medical Leave,M,Suburban,Married,Two-Door Car,25049
OE15005,California,College,Medical Leave,M,Suburban,Married,SUV,28855
WC83389,Oregon,College,Employed,M,Urban,Married,Four-Door Car,51148
FL50705,California,High School or Below,Employed,F,Suburban,Married,Four-Door Car,66140
ZK25313,Oregon,High School or Below,Employed,M,Suburban,Single,Two-Door Car,57749
SV62436,Washington,Bachelor,Disabled,F,Suburban,Divorced,Four-Door Car,13789
YH23384,Arizona,Bachelor,Medical Leave,M,Suburban,Divorced,Four-Door Car,14072
TZ98966,Nevada,Bachelor,Unemployed,F,Suburban,Single,Four-Door Car,0
HM55802,California,Bachelor,Disabled,F,Suburban,Married,Four-Door Car,17870
FS42516,Oregon,College,Employed,M,Suburban,Married,Four-Door Car,97541
US89481,California,Bachelor,Unemployed,F,Suburban,Single,Four-Door Car,0
HO30839,Washington,Master,Disabled,F,Urban,Married,SUV,10511
GE62437,Arizona,College,Employed,F,Suburban,Single,Four-Door Car,86584
EJ77678,Oregon,Master,Employed,F,Suburban,Married,Four-Door Car,75690
SV85652,Arizona,College,Employed,M,Suburban,Married,Four-Door Car,23158
UL64533,Nevada,High School or Below,Employed,M,Urban,Married,Luxury SUV,65999
PF41800,California,Bachelor,Unemployed,M,Urban,Married,Four-Door Car,0
AO98601,Washington,Bachelor,Employed,M,Suburban,Married,Two-Door Car,54500
SK67821,Oregon,Bachelor,Employed,F,Rural,Married,Four-Door Car,37260
YV55495,Arizona,High School or Below,Employed,F,Urban,Married,Four-Door Car,68987
KY38074,California,Bachelor,Employed,M,Suburban,Married,Four-Door Car,42305
DM79012,Oregon,Master,Employed,F,Suburban,Married,Four-Door Car,65706
CM61827,Oregon,Bachelor,Unemployed,M,Suburban,Single,Two-Door Car,0
WC35801,Arizona,High School or Below,Employed,M,Rural,Divorced,Four-Door Car,53243
QG25316,Nevada,High School or Below,Unemployed,F,Suburban,Married,Two-Door Car,0
MB98372,Oregon,College,Employed,F,Rural,Single,Two-Door Car,50071
IL19217,California,Bachelor,Employed,F,Suburban,Married,Four-Door Car,60021
SR38658,Arizona,High School or Below,Employed,M,Suburban,Married,Sports Car,43244
DH41343,Washington,College,Employed,M,Suburban,Married,Four-Door Car,92834
HG65722,Oregon,Doctor,Disabled,F,Rural,Married,SUV,10105
BU27331,Arizona,Bachelor,Unemployed,M,Suburban,Single,Four-Door Car,0
XM45289,Oregon,High School or Below,Employed,F,Suburban,Single,Two-Door Car,23218
KP34198,California,Bachelor,Unemployed,F,Suburban,Married,Four-Door Car,0
SH90947,Arizona,High School or Below,Unemployed,F,Suburban,Married,Four-Door Car,0
WE95729,Oregon,College,Employed,M,Suburban,Married,SUV,24804
PY51963,California,Bachelor,Employed,F,Suburban,Divorced,SUV,33190
RB69909,Nevada,High School or Below,Employed,F,Rural,Married,Four-Door Car,36014
XR95069,Washington,Bachelor,Employed,M,Suburban,Single,Four-Door Car,29834
FR46645,California,Bachelor,Disabled,M,Suburban,Married,Four-Door Car,16701
SY17488,Arizona,College,Employed,F,Suburban,Divorced,Four-Door Car,46623
AP67935,California,College,Employed,M,Urban,Married,Four-Door Car,64749
FS37417,Arizona,High School or Below,Unemployed,F,Suburban,Married,SUV,0
ML29312,Oregon,High School or Below,Disabled,F,Suburban,Divorced,SUV,16969
UB61619,Oregon,Master,Disabled,F,Suburban,Divorced,Four-Door Car,11621
CD86811,Arizona,Bachelor,Retired,M,Suburban,Divorced,Four-Door Car,17622
RU83859,California,Bachelor,Medical Leave,F,Suburban,Married,Two-Door Car,11489
FG63582,Oregon,Bachelor,Unemployed,M,Suburban,Single,Two-Door Car,0
NN71951,California,High School or Below,Employed,F,Rural,Married,SUV,66525
WB37082,Arizona,Bachelor,Unemployed,F,Suburban,Single,Four-Door Car,0
SM52139,Washington,College,Employed,M,Suburban,Married,Four-Door Car,33663
FL82372,Oregon,College,Employed,F,Suburban,Divorced,SUV,22547
DP45816,Arizona,High School or Below,Employed,F,Urban,Married,Two-Door Car,61486
GW33762,Oregon,Bachelor,Unemployed,F,Suburban,Divorced,Two-Door Car,0
RZ33670,California,College,Disabled,F,Suburban,Married,Four-Door Car,29879
PY70169,Oregon,High School or Below,Employed,M,Rural,Divorced,SUV,93011
